Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,249.4071044921875,249.4071044921875,233.57772827148438,245.84120178222656,202.29568481445312,76646086
2010-01-05,262.8478088378906,262.8478088378906,243.5325164794922,244.74400329589844,201.392822265625,21392825
2010-01-06,246.8469696044922,250.18429565429688,244.73257446289062,248.69850158691406,204.6468963623047,23691760
2010-01-07,248.69850158691406,254.8702392578125,246.41265869140625,252.8244171142578,208.04200744628906,26197920
2010-01-08,253.27015686035156,254.595947265625,250.52716064453125,252.16152954101562,207.49652099609375,15110149
2010-01-11,259.3733215332031,262.8020935058594,240.01234436035156,247.21270751953125,203.42428588867188,188649642
2010-01-12,250.298583984375,259.9676513671875,246.18408203125,247.86416625976562,203.96034240722656,32790509
2010-01-13,248.69850158691406,249.61282348632812,244.26397705078125,248.8356475830078,204.75973510742188,15360176
2010-01-14,248.2413330078125,257.1103515625,248.2413330078125,256.4017639160156,210.9856719970703,24545629
2010-01-15,257.33892822265625,260.3333740234375,252.59584045410156,253.8987579345703,208.92605590820312,18766617
2010-01-18,253.0415802001953,255.20169067382812,249.6013946533203,251.32720947265625,206.80999755859375,14172193
2010-01-19,251.44149780273438,252.8244171142578,247.47557067871094,248.01275634765625,204.08261108398438,13064666
2010-01-20,250.298583984375,250.7786102294922,245.04116821289062,246.29837036132812,202.67189025878906,19331024
2010-01-21,245.72691345214844,246.18408203125,240.06948852539062,240.93809509277344,198.26104736328125,18611321
2010-01-22,237.95509338378906,244.81259155273438,235.32638549804688,240.8923797607422,198.2234344482422,39869565
2010-01-25,239.9323272705078,241.01809692382812,236.97218322753906,238.19509887695312,196.00392150878906,13393277
2010-01-27,236.35501098632812,240.01234436035156,233.15484619140625,234.88064575195312,193.27658081054688,24843485
2010-01-28,237.72650146484375,239.20086669921875,234.29776000976562,237.07504272460938,195.08229064941406,33223459
2010-01-29,236.1035614013672,240.4237823486328,232.7205352783203,239.1437225341797,196.7845001220703,23333042
2010-02-01,237.15504455566406,241.15525817871094,236.7093048095703,238.9608612060547,196.63409423828125,12132865
2010-02-02,240.46949768066406,241.46383666992188,234.09202575683594,234.82350158691406,193.22958374023438,17248998
2010-02-03,235.69210815429688,239.6466064453125,235.69210815429688,236.3435821533203,194.4803924560547,15052266
2010-02-04,237.2693328857422,237.2693328857422,231.78334045410156,232.96054077148438,191.69654846191406,11974603
2010-02-05,222.8686065673828,230.3546905517578,222.8686065673828,224.4001007080078,184.6524200439453,29882876
2010-02-08,225.15443420410156,229.5775146484375,222.8686065673828,227.29168701171875,187.03184509277344,25894932
2010-02-09,227.15452575683594,228.12600708007812,224.62869262695312,227.0402374267578,186.82492065429688,14292031
2010-02-10,228.56031799316406,228.56031799316406,224.4686737060547,225.1772918701172,185.29196166992188,18261247
2010-02-11,226.12591552734375,233.109130859375,225.9544677734375,232.0462188720703,190.94419860839844,23450102
2010-02-15,234.7549285888672,234.7549285888672,230.32040405273438,230.86900329589844,189.9755096435547,13498617
2010-02-16,230.89186096191406,233.3834228515625,229.72608947753906,232.64053344726562,191.43325805664062,10068256
2010-02-17,234.29776000976562,237.22361755371094,233.62344360351562,236.0235595703125,194.217041015625,15630122
2010-02-18,235.440673828125,237.34934997558594,227.4402618408203,228.08029174804688,187.6807403564453,19834114
2010-02-19,227.4402618408203,227.4402618408203,223.36004638671875,224.74298095703125,184.93458557128906,17754534
2010-02-22,227.5088348388672,228.5831756591797,221.72567749023438,223.5429229736328,183.9470977783203,12692045
2010-02-23,222.6400146484375,224.697265625,221.72567749023438,222.9486083984375,183.4580535888672,12976934
2010-02-24,221.72567749023438,225.31443786621094,220.95993041992188,223.73721313476562,184.10694885253906,12487589
2010-02-25,224.0343780517578,225.15443420410156,219.2455596923828,220.14845275878906,181.15386962890625,18954063
2010-02-26,221.49710083007812,227.4402618408203,220.86849975585938,223.77149963378906,184.13516235351562,22579233
2010-03-02,225.15443420410156,228.35459899902344,223.87435913085938,224.74298095703125,184.93458557128906,18210596
